symbol,entry_date,exit_date,entry,target,stop,exit,pnl_pct,days,result
TITAGARH,2023-04-03,2023-04-20,276.39,315.09,257.05,315.09,14.0,10,TARGET
GLENMARK,2023-04-03,2023-04-27,476.25,542.92,442.91,542.92,14.0,15,TARGET
CHOLAFIN,2023-04-03,2023-05-02,775.21,883.74,720.95,883.74,14.0,17,TARGET
BAJAJ-AUTO,2023-04-03,2023-05-08,3748.94,4273.8,3486.52,4273.8,14.0,21,TARGET
IGL,2023-04-05,2023-05-09,209.22,238.51,194.57,238.51,14.0,21,TARGET
TITAGARH,2023-04-20,2023-06-02,330.56,376.84,307.43,376.84,14.0,30,TARGET
RECLTD,2023-05-02,2023-06-13,116.79,133.14,108.61,133.14,14.0,30,TARGET
PAYTM,2023-05-08,2023-06-13,723.25,824.51,672.62,824.51,14.0,26,TARGET
NHPC,2023-04-27,2023-07-24,41.72,47.56,38.8,47.56,14.0,60,TARGET
IDFCFIRSTB,2023-06-13,2023-07-24,74.56,84.99,69.34,84.99,14.0,28,TARGET
RECLTD,2023-07-24,2023-07-31,152.03,173.31,141.39,173.31,14.0,5,TARGET
MGL,2023-05-09,2023-08-14,1004.37,1144.98,934.06,934.06,-7.0,68,STOP
AMBER,2023-08-14,2023-08-18,2603.05,2967.48,2420.84,2967.48,14.0,3,TARGET
IDFCFIRSTB,2023-07-31,2023-09-05,86.92,99.08,80.83,99.08,14.0,25,TARGET
OFSS,2023-06-13,2023-09-08,3512.74,4004.52,3266.85,4004.52,14.0,61,TARGET
CDSL,2023-09-05,2023-09-11,602.21,686.52,560.06,686.52,14.0,4,TARGET
RECLTD,2023-09-08,2023-09-12,240.69,274.38,223.84,223.84,-7.0,2,STOP
NHPC,2023-07-24,2023-09-14,46.42,52.91,43.17,52.91,14.0,37,TARGET
NHPC,2023-09-14,2023-09-21,52.47,59.81,48.8,48.8,-7.0,4,STOP
GLENMARK,2023-09-13,2023-09-22,856.06,975.9,796.13,796.13,-7.0,6,STOP
